code,province,weight
A440,BG,2749
A441,VA,4903
A443,BL,2328
A444,VI,3130
A445,TE,818
A446,RM,1577
A447,UD,2129
A448,UD,2869
A451,BS,3668
A449,RM,14177
A452,AO,882
A453,OT,13639
A454,OG,2431
A455,NA,34560
A458,PD,4790
A459,VI,25610
A460,SA,5867
A462,AP,49203
A461,SI,7120
A463,FG,6204
A465,VI,6429
A464,RI,256
A466,VC,1440
A467,VI,863
A468,SI,12637
A470,MN,10093
A471,TV,9068
A472,RI,1242
A473,MI,9008
A474,CA,26778
A475,PG,28379
A476,CO,3597
A477,OR,387
A478,EN,5135
A479,AT,76164
A480,OR,345
A481,AQ,1167
A482,PZ,3860
A484,SA,2374
A485,CH,10570
A486,FR,4258
A487,SA,862
A488,TE,10720
A489,AV,10998
A490,TR,1992
A491,UD,1759
A492,NU,1132
A493,PU,1543
A494,SR,36091
A495,SA,2304
A496,MS,11121
A497,VB,107
A499,IM,343
A501,BL,3315
A502,FR,2593
A506,GE,2548
A503,NU,819
A508,AV,7831
A507,BZ,763
A509,AV,54561
A511,BG,182
A512,CE,53040
A515,AQ,42509
A516,PN,9066
A514,TA,6700
A517,BG,557
A518,TO,12480
A519,PZ,11453
A520,TN,4116
A522,SR,31576
A521,AO,297
A523,AL,271
A525,TO,1308
A526,CR,635
A527,AT,395
A528,BG,7597
A529,BS,3189
A530,PN,15744
A531,VA,4686
A532,VA,779
A533,BG,400
A534,VB,918
A535,NA,26404
A536,IM,1127
A537,BZ,3483
A538,PV,361
A539,RO,10442
A540,VR,2654
A541,AR,1080
A542,CZ,3046
A544,RC,1025
A546,PA,55373
A547,RA,16686
A550,PV,676
A551,RA,2432
A552,RC,10150
A553,UD,3528
A555,CN,1019
A557,BG,4335
A560,LU,6127
A561,PT,20458
A562,PI,31480
A564,FI,25569
A565,FC,5944
A566,AV,3160
A567,IS,726
A568,PD,3625
A569,BS,12677
A570,CR,4846
A571,CN,5972
A573,RE,9788
A572,LE,1829
A574,RO,1274
A575,MN,5963
A576,MS,1856
A577,VT,3615
A578,BS,3879
A579,CE,2166
A580,AV,4751
A581,IM,331
A584,TO,800
A586,RE,3285
A587,TO,3177
A588,AT,1098
A589,CN,1071
A590,TO,546
A591,TO,3760
A593,SV,582
A592,PA,6435
A594,LC,4055
A597,CA,804
A599,TO,108
A601,VC,228
A603,AQ,3512
A605,AL,1357
A604,PZ,1831
A606,SS,577
A600,VC,114
A607,TO,3246
A609,OR,319
A610,VB,482
A613,PD,3126
A612,PZ,1326
A614,OR,83
A616,CB,2644
A617,NA,10036
A618,MI,11935
A615,PZ,2643
A619,VA,1667
A621,OR,1321
A625,TO,1603
A626,AN,1338
A627,VI,4617
A629,CN,660
A628,VT,1066
A630,BS,2343
A631,BG,722
A632,FI,10840
A633,FI,4406
A634,PV,867
A635,BZ,1699
A637,PD,658
A639,PU,956
A640,PN,252
A638,ME,41487
A643,AO,117
A645,VA,1613
A646,PR,2185
A647,SV,747
A650,VR,7086
A651,TO,3173
A652,MI,17364
A653,NO,814
A655,OR,649
A656,AQ,719
A657,LU,9976
A658,GE,2697
A661,BS,1203
A660,CN,7727
A662,BA,324198
A663,OG,3981
A664,BG,4291
A665,BO,6982
A666,PZ,2717
A667,AQ,1802
A668,MB,7013
A669,BT,94673
A670,CO,577
A671,CN,713
A673,TO,581
A674,SA,17034
A676,EN,13212
A677,CA,1127
A678,AQ,719
A681,VS,1273
A683,LC,2429
A684,BG,1965
A686,LC,5122
A687,LC,1349
A689,AL,2096
A690,PV,1769
A691,TR,2706
A692,TE,2409
A694,TN,5051
A696,BN,2335
A697,MI,3674
A698,ME,604
A699,MI,7846
A700,UD,5335
A702,BS,2330
A701,VT,4055
A705,VA,241
A704,VT,4940
A703,VI,43395
A706,VT,1296
A707,LT,1554
A709,CN,673
A710,PG,21784
A712,PV,1016
A708,AL,1701
A714,PD,3872
A717,SA,50883
A716,CN,217
A713,MO,4228
A718,PV,655
A719,PA,1975
A720,FR,8609
A722,OG,3623
A721,OR,689
A728,VA,665
A725,VB,4910
A729,BS,12337
A730,TN,1491
A731,PR,3419
A732,BG,738
A733,VB,741
A735,CN,3432
A734,TO,18117
A736,CZ,1413
A738,AL,519
A737,VR,3147
A739,MC,1877
A740,PU,754
A741,PV,6237
A742,VB,537
A743,PZ,5104
A745,LC,3217
A746,TE,7152
A747,RN,19537
A749,RM,2846
A750,CN,108
A751,MI,3878
A752,NO,9634
A755,CE,6054
A756,SA,779
A757,BL,35876
A759,MB,7360
A760,FM,628
A761,IS,756
A762,CS,1994
A763,FR,727
A764,PA,11253
A766,CT,28081
A768,CS,909
A765,RI,630
A769,AN,2209
A770,AT,340
A771,BO,2203
A774,CN,366
A773,CS,9298
A772,KR,2272
A776,NU,627
A777,SO,119
A778,CO,340
A781,SS,1858
A782,CN,488
A780,RC,2567
A779,CN,3649
A784,BI,1163
A783,BN,59945
A785,BO,5479
A786,BG,2383
A787,SO,4155
A788,PR,2050
A789,OT,2772
A791,CO,2738
A793,AL,732
A792,PV,2802
A796,SV,1122
A794,BG,120287
A795,RO,2536
A798,CN,68
A799,BS,2706
A802,MB,11050
A804,MI,3076
A805,CN,4133
A806,FE,4785
A809,FC,10956
A801,MT,12445
A810,UD,2447
A812,AT,424
A811,LO,1132
A815,BG,1365
A813,AL,157
A816,BS,1663
A818,MB,15489
A820,MI,2064
A817,BS,2486
A819,VA,2594
A821,TN,2658
A823,PC,978
A826,VA,9036
A825,VA,5565
A827,SS,413
A831,PC,2787
A832,PG,4394
A834,VB,1485
A836,SP,2401
A835,PG,5068
A841,CT,24040
A837,VR,1713
A842,CS,1290
A843,RC,4294
A844,NO,1308
A845,VA,3346
A846,BG,622
A847,VC,1950
A848,SO,1303
A849,MB,12201
A850,RE,10276
A852,LI,3191
A851,AR,12232
A853,TO,3467
A854,FG,2768
A855,UD,1881
A856,OR,146
A859,BI,44616
A857,VT,3316
A863,TN,428
A861,BS,3487
A864,PI,8250
A866,MN,2120
A870,CO,4832
A872,MI,7251
A874,BA,2256
A876,BI,915
A878,BS,1370
A877,AO,238
A882,PA,4560
A881,AV,3811
A880,NU,531
A883,BT,55390
A884,AQ,215
A885,TE,1925
A889,AL,1872
A887,CS,10152
A891,VA,4368
A892,BA,11999
A893,BA,55354
A894,BA,11299
A895,NU,2843
A896,AG,3665
A897,RC,1379
A898,CO,1584
A903,BG,71
A904,CO,276
A905,CO,1202
A906,PD,2520
A909,PC,3572
A902,TN,1560
A912,CS,1281
A911,NO,1241
A916,TN,385
A910,TO,568
A914,VC,190
A918,VA,2184
A919,LO,1729
A925,VB,206
A922,GE,4487
A920,MI,4113
A929,NO,1302
A930,CB,8093
A931,SV,2487
A937,BG,6183
A932,SP,7813
A940,MI,36469
A941,TO,2141
A942,MT,6780
A944,BO,388367
A945,PE,1093
A946,PA,4158
A947,MC,137
A948,NU,2613
A949,VT,3936
A950,BG,6057
A954,VI,6548
A953,NO,1193
A952,BZ,106951
A955,VT,1799
A956,CH,799
A957,CL,558
A958,PA,1354
A960,OR,1594
A959,MO,10161
A961,SP,844
A962,BG,6704
A963,BG,9842
A964,VR,2040
A965,FE,14440
A968,TN,673
A971,CB,1347
A970,BN,1443
A972,CR,1520
A973,CS,2824
A975,AV,2423
A976,SS,977
A977,SS,3545
A978,SS,3430
A979,CN,100
A981,RI,614
A982,BL,815
A983,UD,740
A984,IM,10454
A986,CR,617
A987,PR,726
A988,RE,5293
A989,PV,2705
A991,PA,7434
A990,TO,13538
A992,SP,940
A993,IM,452
A996,RI,957
A995,LO,4318
A998,AL,2002
A999,SV,4850
B001,FC,2834
B003,TO,593
B002,CZ,7647
B006,TN,6927
B005,SV,2232
B007,LU,7003
B008,RI,4542
B009,VC,2391
B010,BG,1145
B012,MN,2655
B014,PV,606
B013,MN,772
B015,TO,3740
B016,NO,2066
B017,LO,2407
B020,IM,879
B018,CN,383
B019,NO,21776
B021,TO,795
B024,TO,2207
B025,PC,7893
B026,PU,611
B029,AL,585
B028,PV,1473
B030,PV,431
B031,PD,8765
B033,CN,12427
B034,PR,26826
B035,BS,5411
B036,FI,18388
B037,AL,1420
B038,PV,1008
B041,VC,12790
B040,BS,9286
B042,PR,6923
B043,NO,5137
B044,BO,3273
B046,VC,2233
B048,SV,391
B049,SO,4165
B051,PV,2652
B054,BS,2606
B056,NU,2117
B055,OR,149
B057,CH,343
B058,BI,896
B062,NU,1344
B061,TV,5932
B063,OT,758
B067,GE,2089
B064,SS,287
B068,OR,7926
B069,RO,1467
B070,VR,1400
B071,AL,2422
B073,VR,3599
B075,TO,3156
B076,NA,27918
B077,NA,10316
B079,CN,171
B080,AL,1189
B081,LC,3429
B082,PV,623
B083,BG,997
B085,CZ,5254
B084,CN,661
B086,LE,2759
B088,BG,5165
B091,BS,10917
B097,RC,455
B098,RC,8896
B094,SS,692
B099,RC,4157
B101,CN,9802
B104,FG,3275
B102,BS,7485
B105,MB,16885
B106,PD,3452
B100,BS,2182
B109,AL,344
B112,BG,707
B110,MN,4209
B111,CN,29604
B114,RM,19238
B107,VR,15874
B115,SA,5541
B116,BZ,650
B117,PV,587
B118,RC,3574
B120,BS,1685
B121,TO,8707
B123,BG,714
B124,BS,692
B128,TV,7863
B126,VA,3281
B129,CR,5715
B131,VA,862
B132,VI,8661
B134,CO,6472
B137,BG,8603
B136,VC,175
B141,LO,2642
B138,BG,7938
B142,PV,778
B143,VI,6644
B144,CO,2137
B145,BZ,2190
B150,VA,1708
B149,BS,4856
B152,VR,1388
B153,TN,3959
B154,VR,2452
B156,RE,5621
B158,TN,250
B159,PV,3516
B157,BS,196670
B161,VI,3167
B162,MI,26285
