value,encoded,weight
Liguori,LGR,1468
Castaldo,CST,1467
Bello,BLL,1463
Gabriele,GBR,1461
Puglisi,PGL,1458
Motta,MTT,1454
Rodriguez,RDR,1453
Nigro,NGR,1449
D'andrea,DND,1448
Di Martino,DMR,1447
Valentino,VLN,1445
Marchi,MRC,1443
Sartori,SRT,1438
Papa,PPA,1436
Verde,VRD,1432
Mantovani,MNT,1430
Montanari,MNT,1421
Anna,NNA,1418
Mario,MRA,1418
Maggi,MGG,1409
Massaro,MSS,1408
Perna,PRN,1405
Capuano,CPN,1405
Nardi,NRD,1400
Clemente,CLM,1399
Grossi,GRS,1396
Mohamed,MHM,1396
Trovato,TRV,1394
Pesce,PSC,1392
Berti,BRT,1392
Leoni,LNE,1391
Guidi,GDU,1389
Rosati,RST,1382
Di Mauro,DMR,1381
Albano,LBN,1380
Biondi,BND,1380
Baldi,BLD,1380
Rota,RTO,1378
Bucci,BCC,1376
Di Marco,DMR,1373
Alberti,LBR,1371
Molinari,MLN,1371
Massimo,MSS,1369
Grieco,GRC,1368
Cavaliere,CVL,1367
Michele,MCH,1365
Cuomo,CMU,1364
Gioia,GIO,1359
Rosso,RSS,1357
Giorgio,GRG,1348
Vacca,VCC,1343
Rossini,RSS,1340
Schiavone,SCH,1340
Belli,BLL,1334
Bassi,BSS,1333
Pozzi,PZZ,1333
Agostini,GST,1333
Locatelli,LCT,1332
Bianchini,BNC,1331
Zito,ZTI,1328
Simonetti,SMN,1327
Serafini,SRF,1322
Rocca,RCC,1321
Lanza,LNZ,1318
Cortese,CRT,1318
Scala,SCL,1313
Abbate,BBT,1309
Spada,SPD,1307
Orlandi,RLN,1307
Mari,MRA,1303
Miceli,MCL,1301
Del Prete,DLP,1299
Bernardini,BRN,1298
Luciano,LCN,1298
Capone,CPN,1297
Negri,NGR,1285
Carboni,CRB,1285
Randazzo,RND,1285
Giusti,GST,1284
Adamo,DMA,1282
Fiorentino,FRN,1280
Zanetti,ZNT,1280
Garcia,GRC,1276
Riccardi,RCC,1276
Luongo,LNG,1276
Pucci,PCC,1267
Pasquale,PSQ,1263
Turco,TRC,1259
Buono,BNU,1258
Ceccarelli,CCC,1251
Brunetti,BRN,1249
Venturini,VNT,1246
Di Pietro,DPT,1244
Fabio,FBA,1240
Grande,GRN,1240
Corrado,CRR,1238
Cioffi,CFF,1232
Manfredi,MNF,1231
Di Benedetto,DBN,1229
Elia,LEI,1222
Berardi,BRR,1220
Filippi,FLP,1219
Murgia,MRG,1217
Cristina,CRS,1215
Panico,PNC,1215
Granata,GRN,1215
Luciani,LCN,1207
Luigi,LGU,1206
La Rocca,LRC,1203
Perez,PRZ,1200
Torre,TRR,1199
Di Maio,DMI,1199
Domenico,DMN,1199
Cipriani,CPR,1198
Brambilla,BRM,1198
Loi,LOI,1194
Pisani,PSN,1192
Porcu,PRC,1191
Di Lorenzo,DLR,1186
Cossu,CSS,1184
Sanfilippo,SNF,1182
Santi,SNT,1181
Manna,MNN,1181
DE Stefano,DST,1181
Annunziata,NNN,1181
Masi,MSA,1180
D'Onofrio,DNF,1173
Durante,DRN,1171
Islam,SLM,1171
Trevisan,TRV,1170
D'amato,DMT,1167
Quaranta,QRN,1164
Popa,PPO,1163
Angelo,NGL,1161
Vasile,VSL,1161
Foti,FTO,1157
Pagani,PGN,1157
Battista,BTT,1157
Gori,GRO,1156
